,ip,count,country,city,region,latitude,longitude,loc,org,postal,timezone,country_name,hostname,bogon,anycast
1341,180.76.5.77,37,JP,Tokyo,Tokyo,35.6895,139.6917,"35.6895,139.6917","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",101-8656,Asia/Tokyo,Japan,baiduspider-180-76-5-77.crawl.baidu.com,,
1342,180.76.5.214,37,JP,Tokyo,Tokyo,35.6895,139.6917,"35.6895,139.6917","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",101-8656,Asia/Tokyo,Japan,baiduspider-180-76-5-214.crawl.baidu.com,,
1343,213.143.58.130,37,ES,Barcelona,Catalonia,41.3888,2.1590,"41.3888,2.1590",AS12479 Orange Espagne SA,08001,Europe/Madrid,Spain,,,
1344,77.224.58.135,37,ES,Granada,Andalusia,37.1882,-3.6067,"37.1882,-3.6067",AS12430 VODAFONE ESPANA S.A.U.,18001,Europe/Madrid,Spain,static-135-58-224-77.ipcom.comunitel.net,,
1345,31.4.176.205,37,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS12430 VODAFONE ESPANA S.A.U.,28001,Europe/Madrid,Spain,31-4-176-205.red-acceso.airtel.net,,
1346,65.55.55.229,37,US,Quincy,Washington,47.2343,-119.8525,"47.2343,-119.8525",AS8075 Microsoft Corporation,98848,America/Los_Angeles,United States,,,
1347,217.127.176.170,37,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28013,Europe/Madrid,Spain,seybol.com,,
1348,180.76.6.150,37,CN,Foshan,Guangdong,23.0268,113.1315,"23.0268,113.1315","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",,Asia/Shanghai,China,,,
1349,46.193.166.127,37,FR,Paris,Île-de-France,48.8534,2.3488,"48.8534,2.3488",AS52075 Wifirst S.A.S.,75000,Europe/Paris,France,ppp-bsco01parth2-46-193-166-127.wb.wifirst.net,,
1350,80.34.64.158,37,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,158.red-80-34-64.staticip.rima-tde.net,,
1351,180.76.6.55,37,CN,Foshan,Guangdong,23.0268,113.1315,"23.0268,113.1315","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",,Asia/Shanghai,China,,,
1352,95.20.95.124,37,ES,Salamanca,Castille and León,40.9688,-5.6639,"40.9688,-5.6639",AS12479 Orange Espagne SA,37001,Europe/Madrid,Spain,124.95.20.95.dynamic.jazztel.es,,
1353,180.76.5.201,37,JP,Tokyo,Tokyo,35.6895,139.6917,"35.6895,139.6917","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",101-8656,Asia/Tokyo,Japan,baiduspider-180-76-5-201.crawl.baidu.com,,
1354,157.55.32.87,37,US,Quincy,Washington,47.2343,-119.8525,"47.2343,-119.8525",AS8075 Microsoft Corporation,98848,America/Los_Angeles,United States,,,
1355,88.8.167.139,37,ES,Sant Feliu de Llobregat,Catalonia,41.3833,2.0500,"41.3833,2.0500",AS3352 TELEFONICA DE ESPANA,08980,Europe/Madrid,Spain,139.red-88-8-167.dynamicip.rima-tde.net,,
1356,84.126.218.198,37,ES,Medina del Campo,Castille and León,41.3124,-4.9141,"41.3124,-4.9141","AS6739 VODAFONE ONO, S.A.",47400,Europe/Madrid,Spain,84.126.218.198.dyn.user.ono.com,,
1357,84.78.142.200,37,ES,Teruel,Aragon,40.3456,-1.1065,"40.3456,-1.1065",AS12479 Orange Espagne SA,44001,Europe/Madrid,Spain,,,
1358,186.15.214.204,37,CR,San Vicente,San José,9.9619,-84.0494,"9.9619,-84.0494",AS52228 Cable Tica,11401,America/Costa_Rica,Costa Rica,ip204-214-15-186.ct.co.cr,,
1359,79.155.251.65,37,ES,Basauri,Basque Country,43.2397,-2.8858,"43.2397,-2.8858",AS3352 TELEFONICA DE ESPANA,48970,Europe/Madrid,Spain,65.red-79-155-251.dynamicip.rima-tde.net,,
1360,180.76.6.133,37,CN,Foshan,Guangdong,23.0268,113.1315,"23.0268,113.1315","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",,Asia/Shanghai,China,,,
1361,188.86.12.233,37,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS12430 VODAFONE ESPANA S.A.U.,28001,Europe/Madrid,Spain,static-233-12-86-188.ipcom.comunitel.net,,
1362,180.76.6.50,37,CN,Foshan,Guangdong,23.0268,113.1315,"23.0268,113.1315","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",,Asia/Shanghai,China,,,
1363,180.76.6.28,36,CN,Foshan,Guangdong,23.0268,113.1315,"23.0268,113.1315","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",,Asia/Shanghai,China,,,
1364,180.76.6.60,36,CN,Foshan,Guangdong,23.0268,113.1315,"23.0268,113.1315","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",,Asia/Shanghai,China,,,
1365,180.76.5.30,36,JP,Tokyo,Tokyo,35.6895,139.6917,"35.6895,139.6917","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",101-8656,Asia/Tokyo,Japan,baiduspider-180-76-5-30.crawl.baidu.com,,
1366,180.76.5.175,36,JP,Tokyo,Tokyo,35.6895,139.6917,"35.6895,139.6917","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",101-8656,Asia/Tokyo,Japan,baiduspider-180-76-5-175.crawl.baidu.com,,
1367,193.150.120.33,36,GB,London,England,51.5085,-0.1257,"51.5085,-0.1257",AS61317 Digital Energy Technologies Ltd.,EC1A,Europe/London,United Kingdom,,,
1368,180.76.6.213,36,CN,Foshan,Guangdong,23.0268,113.1315,"23.0268,113.1315","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",,Asia/Shanghai,China,,,
